#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
118,Ama_CL,多头,880424,2017/5/16 10:30,1569,2017/5/22 10:30,1584,1,1616,2017/5/18 11:30,1560,2017/5/16 11:30,4181.41,-1415.62,82.02%,37.51%,19.53%
119,Ama_CL,多头,880943,2017/5/18 14:00,969,2017/5/22 14:00,949,1,975,2017/5/18 15:00,949,2017/5/18 14:00,275.98,-2306.88,12.11%,-13.32%,-101.22%
120,Ama_CL,多头,880557,2017/5/22 11:30,2063,2017/5/22 14:00,2044,1,2063,2017/5/22 11:30,2044,2017/5/22 11:30,0,-2557.12,-53.12%,-52.63%,-205.74%
121,Ama_CL,多头,880400,2017/5/22 10:30,1773,2017/5/22 15:00,1758,1,1778,2017/5/22 11:30,1758,2017/5/22 10:30,0,-2064.96,-2.47%,-38.37%,-140.84%
122,Ama_CL,多头,880446,2017/5/18 10:30,1119,2017/5/22 15:00,1102,1,1128,2017/5/18 11:30,1101,2017/5/22 14:00,558.46,-2124.24,23.97%,-12.17%,-88.20%
123,Ama_CL,多头,880589,2017/5/17 11:30,1525,2017/5/22 15:00,1480,1,1525,2017/5/17 11:30,1480,2017/5/17 11:30,0,-4980.8,-12.14%,-11.78%,-123.93%
124,Ama_CL,多头,880513,2017/5/17 14:00,1285,2017/5/22 15:00,1268,1,1292,2017/5/18 11:30,1267,2017/5/22 14:00,304.65,-2181.36,14.64%,-15.99%,-101.35%
125,Ama_CL,多头,880563,2017/5/18 10:30,2043,2017/5/22 15:00,2049,1,2090,2017/5/18 11:30,2043,2017/5/18 10:30,3998.79,-653.76,100.00%,-1.37%,-1.37%
126,Ama_CL,多头,880553,2017/5/17 11:30,1328,2017/5/22 15:00,1332,1,1354,2017/5/19 10:30,1318,2017/5/18 10:30,2210.82,-1465.29,67.93%,31.28%,-0.79%
127,Ama_CL,多头,880578,2017/5/17 14:00,2243,2017/5/22 15:00,2183,1,2246,2017/5/18 11:30,2176,2017/5/22 14:00,0,-7360.12,-6.61%,-0.71%,-107.32%
128,Ama_CL,多头,880549,2017/5/18 10:30,1300,2017/5/23 10:30,1277,1,1376,2017/5/22 10:30,1277,2017/5/18 10:30,7165.84,-2712.32,75.67%,-4.32%,-28.64%
129,Ama_CL,多头,880448,2017/5/16 10:30,2409,2017/5/23 14:00,2484,1,2512,2017/5/23 10:30,2393,2017/5/16 11:30,9502.65,-2413.25,85.22%,75.02%,60.24%
130,Ama_CL,多头,880587,2017/5/18 10:30,1712,2017/5/23 15:00,1685,1,1741,2017/5/18 11:30,1672,2017/5/23 14:00,2392.45,-4529.46,37.46%,11.76%,-50.78%
131,Ama_CL,多头,880600,2017/5/18 10:30,894,2017/5/23 15:00,907,1,960,2017/5/22 10:30,894,2017/5/18 11:30,6289.38,-311.04,99.60%,16.42%,16.02%
132,Ama_CL,多头,880572,2017/5/17 11:30,1498,2017/5/24 10:30,1458,1,1514,2017/5/19 15:00,1458,2017/5/17 11:30,1121.08,-4472.96,21.86%,-9.10%,-87.24%
133,Ama_CL,多头,880945,2017/5/18 14:00,1171,2017/5/25 10:30,1137,1,1178,2017/5/19 10:30,1109,2017/5/24 10:30,281.22,-6525.86,4.36%,37.22%,-58.42%
134,Ama_CL,多头,880599,2017/5/23 11:30,1595,2017/5/31 15:00,1583,1,1600,2017/5/25 14:00,1569,2017/5/24 10:30,0,-3120.22,-1.24%,35.18%,-66.07%
